0,3.06,93601.65,2.42,0.12,34.51,663.83
0,3.05,93595.79,1.93,0.12,34.53,664.35
0,3.05,93595.54,2.38,0.12,34.54,664.37
0,3.05,93598.61,2.30,0.12,34.55,664.10
0,3.06,93600.38,2.35,0.12,34.55,663.94
0,3.05,93598.53,2.40,0.12,34.56,664.11
0,3.05,93599.75,2.43,0.12,34.58,664.00
0,3.06,93600.52,2.45,0.12,34.59,663.93
0,3.06,93599.38,2.46,0.12,34.60,664.03
0,3.05,93600.31,1.57,0.12,34.60,663.95
0,3.06,93601.84,2.09,0.12,34.60,663.81
0,3.05,93599.97,2.12,0.12,34.61,663.98
0,3.05,93601.17,2.05,0.12,34.60,663.87
0,3.05,93598.97,2.13,0.12,34.61,664.07
0,3.03,93598.63,2.03,0.12,34.61,664.10
0,3.02,93599.66,2.09,0.12,34.62,664.01
0,3.05,93602.42,2.10,0.12,34.62,663.76
0,3.05,93602.42,2.14,0.12,34.63,663.76
0,3.05,93599.22,2.03,0.12,34.63,664.04
0,3.06,93599.58,2.18,0.12,34.63,664.01
0,3.05,93598.25,2.08,0.12,34.63,664.13
0,3.05,93602.30,2.17,0.12,34.64,663.77
0,3.05,93599.97,2.03,0.12,34.65,663.98
0,3.05,93601.17,2.09,0.12,34.64,663.87
0,3.07,93603.52,1.99,0.12,34.65,663.66
0,3.05,93604.22,2.14,0.12,34.63,663.60
0,3.06,93604.16,2.06,0.12,34.64,663.61
0,3.06,93602.48,2.03,0.12,34.64,663.84
0,3.06,93602.33,2.02,0.12,34.64,663.77
0,3.05,93602.99,1.96,0.12,34.64,663.71
0,3.05,93599.63,2.02,0.12,34.63,664.01
0,3.15,93604.66,2.01,0.13,34.62,663.56
0,3.05,93603.09,1.96,0.12,34.63,663.70
0,3.04,93605.14,1.92,0.12,34.63,663.52
0,3.05,93600.25,1.94,0.12,34.63,663.95
0,3.05,93601.44,1.95,0.12,34.63,663.85
0,3.13,93601.95,1.97,0.13,34.63,663.80
0,3.05,93602.28,1.95,0.12,34.64,663.77
0,3.05,93600.81,2.01,0.12,34.63,663.90
0,3.05,93600.95,1.94,0.12,34.64,663.89
0,3.06,93603.85,1.92,0.12,34.64,663.63
0,3.04,93600.80,1.95,0.12,34.64,663.90
0,3.05,93604.19,1.93,0.12,34.64,663.60
0,3.05,93603.69,1.90,0.12,34.63,663.65
0,3.04,93602.46,1.93,0.12,34.63,663.76
0,3.05,93600.59,1.85,0.12,34.63,663.92
0,3.02,93602.45,1.95,0.12,34.63,663.76
0,3.06,93603.80,2.03,0.12,34.63,663.64
0,3.01,93604.13,1.96,0.12,34.64,663.61
0,3.04,93604.00,1.93,0.12,34.63,663.62
0,3.05,93602.47,1.94,0.12,34.64,663.76
0,3.05,93606.23,1.93,0.12,34.63,663.42
0,3.06,93601.63,1.95,0.12,34.64,663.83
0,3.05,93604.86,1.93,0.12,34.63,663.54
0,3.05,93604.32,1.92,0.12,34.63,663.59
0,3.04,93606.87,1.90,0.12,34.64,663.37
0,3.08,93602.84,1.92,0.12,34.65,663.72
0,3.05,93605.23,1.99,0.12,34.64,663.51
0,3.05,93600.98,1.89,0.12,34.63,663.89
0,3.05,93603.31,1.89,0.12,34.64,663.68
0,2.95,93600.81,1.87,0.12,34.62,663.90
0,2.83,93600.73,1.89,0.11,34.62,663.91
0,3.05,93604.79,1.90,0.12,34.62,663.55
0,3.06,93603.61,1.90,0.12,34.62,663.66
0,3.06,93603.75,1.92,0.12,34.62,663.64
0,3.05,93603.92,1.93,0.12,34.62,663.63
0,3.05,93605.28,1.92,0.12,34.62,663.51
0,3.05,93604.94,1.88,0.12,34.62,663.54
0,3.05,93604.42,1.88,0.12,34.62,663.58
0,3.05,93601.05,1.92,0.12,34.62,663.88
0,3.06,93606.95,1.87,0.12,34.61,663.36
0,3.05,93601.70,1.89,0.12,34.62,663.82
0,3.03,93602.40,1.87,0.12,34.62,663.76
0,3.06,93605.47,1.87,0.12,34.61,663.49
0,3.05,93605.59,1.88,0.12,34.61,663.54
0,3.09,93604.05,1.88,0.12,34.61,663.62
0,3.04,93605.42,1.84,0.12,34.62,663.49
0,3.06,93605.44,1.87,0.12,34.61,663.49
0,3.05,93605.73,1.87,0.12,34.60,663.47
0,3.05,93606.05,1.89,0.12,34.61,663.44
0,3.04,93609.13,1.90,0.12,34.61,663.17
0,3.06,93603.70,1.87,0.12,34.61,663.65
0,3.05,93603.38,1.89,0.12,34.62,663.68
0,3.05,93606.30,1.91,0.12,34.62,663.42
0,3.05,93605.61,1.89,0.12,34.63,663.48
0,3.13,93604.47,1.92,0.13,34.64,663.58
0,3.05,93605.87,1.89,0.12,34.63,663.45
0,3.05,93609.07,1.88,0.12,34.63,663.17
0,3.06,93605.18,1.73,0.12,34.63,663.52
0,3.03,93604.66,1.89,0.12,34.63,663.56
0,3.06,93606.20,1.87,0.12,34.63,663.43
0,3.05,93607.36,1.89,0.12,34.62,663.32
0,3.06,93607.83,1.90,0.12,34.62,663.28
0,3.08,93608.84,1.88,0.12,34.63,663.19
0,3.05,93606.49,2.31,0.12,34.62,663.40
0,3.03,93609.69,2.27,0.12,34.62,663.12
0,3.05,93606.82,2.31,0.12,34.62,663.37
