Genre,Movie,Release Year,Rating,Runtime,Gross
"Action, Adventure, Sci-Fi",Spider-Man: Homecoming,2017,7.4,133 ,880166924
"Animation, Adventure, Comedy",Ice Age: Continental Drift,2012,6.5,88 ,877244782
"Action, Adventure, Sci-Fi",Batman v Superman: Dawn of Justice,2016,6.4,151 ,873637528
"Action, Adventure, Drama",Zhan lang II,2017,5.9,123 ,870325439
"Action, Adventure, Fantasy",Star Wars: Episode III - Revenge of the Sith,2005,7.6,140 ,868390560
"Action, Adventure, Sci-Fi",The Hunger Games: Catching Fire,2013,7.5,146 ,865011746
"Action, Adventure, Comedy",Guardians of the Galaxy Vol. 2,2017,7.6,136 ,863756051
"Animation, Adventure, Comedy",Inside Out,2015,8.1,95 ,858848019
"Action, Adventure, Sci-Fi",Venom,2018,6.6,112 ,856085151
"Action, Adventure, Comedy",Thor: Ragnarok,2017,7.9,130 ,853983879
"Adventure, Drama, Fantasy",The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,115 ,848853382
"Action, Adventure, Sci-Fi",Inception,2010,8.8,148 ,836848102
"Action, Adventure, Sci-Fi",Transformers: Revenge of the Fallen,2009,5.9,149 ,836303693
"Action, Adventure, Sci-Fi",Spider-Man,2002,7.4,121 ,825025036
"Action, Adventure, Drama",Black Panther: Wakanda Forever,2022,6.7,161 ,823221911
"Action, Adventure, Fantasy",Wonder Woman,2017,7.4,141 ,822854286
"Comedy, Romance","Ni hao, Li Huanying",2021,7,128 ,822009764
"Action, Adventure, Sci-Fi",Independence Day,1996,7,145 ,817400891
"Adventure, Family, Fantasy",Fantastic Beasts and Where to Find Them,2016,7.2,132 ,814044001
"Animation, Adventure, Comedy",Shrek the Third,2007,6.1,93 ,813367380
"Animation, Adventure, Comedy",Coco,2017,8.4,105 ,807817888
"Action, Adventure, Comedy",Jumanji: The Next Level,2019,6.7,123 ,801693929
"Adventure, Family, Fantasy",Harry Potter and the Prisoner of Azkaban,2004,7.9,142 ,797660766
"Action, Adventure, Fantasy",Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,129 ,794881442
"Adventure, Family, Sci-Fi",E.T. the Extra-Terrestrial,1982,7.9,115 ,792910554
"Action, Adventure, Thriller",Mission: Impossible - Fallout,2018,7.7,147 ,791657398
"Action, Adventure, Sci-Fi",2012,2009,5.8,158 ,791217826
"Action, Adventure",Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,122 ,790653942
"Action, Adventure, Sci-Fi",Spider-Man 2,2004,7.4,127 ,788976453
"Action, Adventure, Crime",Furious 6,2013,7,130 ,788680968
"Action, Adventure, Comedy",Deadpool 2,2018,7.6,119 ,785896609
"Action, Comedy",Deadpool,2016,8,108 ,782836791
"Action, Adventure, Fantasy",Star Wars,1977,8.6,121 ,775398007
"Action, Adventure, Thriller",No Time to Die,2021,7.3,163 ,774153007
"Adventure, Drama, Sci-Fi",Interstellar,2014,8.6,169 ,773867216
"Action, Adventure, Comedy",Guardians of the Galaxy,2014,8,121 ,773350147
"Action, Crime, Drama",The Batman,2022,7.8,176 ,770945583
"Action, Adventure, Comedy",Thor: Love and Thunder,2022,6.2,118 ,760928081
"Action, Adventure, Thriller",Fast & Furious Presents: Hobbs & Shaw,2019,6.5,137 ,760732926
"Mystery, Thriller",The Da Vinci Code,2006,6.6,149 ,760006945
"Adventure, Family, Fantasy",Maleficent,2014,6.9,97 ,758411779
"Action, Adventure, Sci-Fi",The Amazing Spider-Man,2012,6.9,136 ,757930663
"Action, Adventure, Sci-Fi",The Hunger Games: Mockingjay - Part 1,2014,6.6,123 ,755356711
"Animation, Adventure, Comedy",Shrek Forever After,2010,6.3,95 ,752600867
"Drama, Sci-Fi, Thriller",Gravity,2013,7.7,91 ,748049949
"Animation, Adventure, Comedy",Madagascar 3: Europe's Most Wanted,2012,6.8,95 ,746921274
"Action, Adventure, Fantasy",Suicide Squad,2016,5.9,123 ,746846894
"Action, Adventure, Sci-Fi",X-Men: Days of Future Past,2014,7.9,132 ,746045700
"Adventure, Family, Fantasy","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,143 ,745013115
"Animation, Adventure, Comedy",Monsters University,2013,7.2,104 ,743559645
"Action, Sci-Fi",The Matrix Reloaded,2003,7.2,138 ,741847937
"Animation, Adventure, Comedy",Up,2009,8.3,96 ,735099102
"Animation, Action, Adventure",Ne Zha zhi mo tong jiang shi,2019,7.4,110 ,726264074
"Action, Crime, Thriller",F9,2021,5.2,143 ,726229501
"Action, Adventure, Sci-Fi",Captain America: The Winter Soldier,2014,7.8,136 ,714421503
"Adventure, Drama, Fantasy",The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,117 ,712205856
"Adventure, Drama, Fantasy",The Twilight Saga: New Moon,2009,4.7,130 ,711025481
"Action, Adventure, Drama",Dawn of the Planet of the Apes,2014,7.6,130 ,710644566
"Action, Adventure, Sci-Fi",Transformers,2007,7,144 ,709709780
"Action, Adventure, Sci-Fi",The Amazing Spider-Man 2,2014,6.6,142 ,708982323
Horror,It,2017,7.3,135 ,701842551
"Action, Adventure, Sci-Fi",Liu lang di qiu,2019,5.9,125 ,699992512
"Action, Adventure, Drama",The Twilight Saga: Eclipse,2010,5,124 ,698509825
"Action, Adventure, Thriller",Mission: Impossible - Ghost Protocol,2011,7.4,132 ,694713380
"Comedy, Musical, Romance",Mamma Mia!,2008,6.5,108 ,694476782
"Action, Adventure, Sci-Fi",The Hunger Games,2012,7.2,142 ,694394724
"Action, Adventure, Comedy",Tang ren jie tan an 3,2021,5.6,136 ,686257563
"Action, Adventure, Thriller",Mission: Impossible - Rogue Nation,2015,7.4,131 ,682716636
"Drama, Romance",Forrest Gump,1994,8.8,142 ,678226465
"Action, Adventure, Fantasy",Doctor Strange,2016,7.5,115 ,677796076
"Drama, Mystery, Thriller",The Sixth Sense,1999,8.2,107 ,672806432
"Action, Adventure, Sci-Fi",Man of Steel,2013,7.1,143 ,668045518
"Animation, Adventure, Comedy",Ice Age: The Meltdown,2006,6.8,91 ,667094506
"Animation, Action, Adventure",Kung Fu Panda 2,2011,7.2,90 ,665692281
"Animation, Adventure, Comedy",Moana,2016,7.6,107 ,665069139
"Action, Adventure, Fantasy",Justice League,2017,6.1,120 ,657926987
"Animation, Action, Adventure",Big Hero 6,2014,7.8,102 ,657869686
"Adventure, Family, Fantasy",Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,134 ,654855901
"Action, Adventure, Fantasy",Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,143 ,654264015
"Action, Adventure, Comedy",Men in Black 3,2012,6.8,106 ,654213485
"Action, Adventure, Fantasy",Star Wars: Episode II - Attack of the Clones,2002,6.6,142 ,653779970
"Action, Adventure, Sci-Fi",The Hunger Games: Mockingjay - Part 2,2015,6.5,137 ,653428261
"Action, Adventure, Fantasy",Thor: The Dark World,2013,6.8,112 ,644783140
"Animation, Comedy, Family",Sing,2016,7.1,108 ,634338384
"Animation, Action, Adventure",Kung Fu Panda,2008,7.6,92 ,632083197
"Animation, Action, Adventure",The Incredibles,2004,8,115 ,631607053
"Adventure, Drama, Sci-Fi",The Martian,2015,8,144 ,630620818
"Action, Comedy, Drama",Hancock,2008,6.4,92 ,629443428
"Action, Drama, History",Chang jin hu zhi shui men qiao,2022,5.5,153 ,626571697
"Action, Crime, Thriller",Fast Five,2011,7.3,130 ,626137675
"Action, Sci-Fi",Iron Man 2,2010,6.9,124 ,623933331
"Animation, Adventure, Comedy",Ratatouille,2007,8.1,111 ,623726085
"Action, Adventure, Comedy",Ant-Man and the Wasp,2018,7,118 ,622674139
"Animation, Action, Adventure",How to Train Your Dragon 2,2014,7.8,102 ,621537519
"Action, Drama, Sci-Fi",Logan,2017,8.1,137 ,619179950
"Action, Adventure, Sci-Fi",The Lost World: Jurassic Park,1997,6.5,129 ,618638999
"Action, Adventure, Thriller",Casino Royale,2006,8,144 ,616505162
Drama,The Passion of the Christ,2004,7.2,127 ,612054506
"Adventure, Drama, Fantasy",Life of Pi,2012,7.9,127 ,609016565
"Action, Adventure, Sci-Fi",Transformers: The Last Knight,2017,5.2,154 ,605425157
"Animation, Adventure, Comedy",Madagascar: Escape 2 Africa,2008,6.6,89 ,603900354
"Action, Adventure, Sci-Fi",War of the Worlds,2005,6.5,116 ,603873119
"Animation, Adventure, Comedy",Tangled,2010,7.7,100 ,592462816
"Action, Adventure, Sci-Fi",Ready Player One,2018,7.4,140 ,592241728
"Action, Adventure, Mystery",Quantum of Solace,2008,6.6,106 ,589580482
"Action, Adventure, Comedy",Men in Black,1997,7.3,98 ,589390539
"Animation, Action, Adventure",The Croods,2013,7.2,98 ,587235983
Comedy,The Hangover Part II,2011,6.5,102 ,586764305
"Action, Adventure, Sci-Fi",Iron Man,2008,7.9,126 ,585796247
"Action, Drama, Horror",I Am Legend,2007,7.2,101 ,585410052
"Animation, Adventure, Comedy","Monsters, Inc.",2001,8.1,92 ,579707738
"Action, Drama, Thriller",Hong hai xing dong,2018,6.6,142 ,579330426
"Adventure, Comedy, Family",Night at the Museum,2006,6.4,108 ,574481229
"Drama, Romance, Thriller",Fifty Shades of Grey,2015,4.2,125 ,569651467
"Action, Adventure, Fantasy",Kong: Skull Island,2017,6.6,118 ,566652812
"Animation, Adventure, Comedy",The Smurfs,2011,5.4,103 ,563749323
"Animation, Adventure, Comedy",Cars 2,2011,6.2,106 ,559852396
"Action, Adventure, Drama",King Kong,2005,7.2,187 ,556906378
"Animation, Adventure, Comedy",Puss in Boots,2011,6.6,90 ,554987477
"Comedy, Drama, Fantasy",Mei ren yu,2016,6.2,94 ,553810228
"Action, Adventure, Sci-Fi",Armageddon,1998,6.7,151 ,553709788
"Action, Adventure, Sci-Fi",The Day After Tomorrow,2004,6.4,124 ,552639571
Comedy,Ted,2012,6.9,106 ,549368315
"Action, Biography, Drama",American Sniper,2014,7.3,133 ,547459020
"Action, Adventure, Thriller",Mission: Impossible II,2000,6.1,123 ,546388108
"Action, Comedy, Mystery",Tang ren jie tan an 2,2018,6.1,121 ,544185156
"Action, Adventure, Sci-Fi",X-Men: Apocalypse,2016,6.9,144 ,543934105
"Action, Adventure, Mystery",Sherlock Holmes: A Game of Shadows,2011,7.4,129 ,543848418
"Animation, Adventure, Comedy",Despicable Me,2010,7.6,95 ,543157985
