Genre,Movie,Release Year,Rating,Runtime,Gross
"Action, Adventure, Sci-Fi",Star Trek,2009,7.9,127 ,385680446
"Action, Drama, War",1917,2019,8.2,119 ,384577421
"Animation, Adventure, Comedy",Happy Feet,2006,6.4,108 ,384336108
"Animation, Action, Adventure",Spider-Man: Into the Spider-Verse,2018,8.4,117 ,384256930
"Animation, Adventure, Comedy",Cars 3,2017,6.7,102 ,383930656
"Adventure, Comedy, Sci-Fi",Back to the Future,1985,8.5,116 ,383336762
"Animation, Adventure, Comedy",Ice Age,2002,7.5,81 ,383257136
"Animation, Drama, Fantasy",Kimi no na wa.,2016,8.4,106 ,382238181
"Drama, Romance, Thriller",Fifty Shades Darker,2017,4.6,118 ,381545846
"Animation, Action, Adventure",Monsters vs. Aliens,2009,6.4,94 ,381509870
"Action, Adventure, Sci-Fi",Black Widow,2021,6.7,134 ,379751655
"Action, Sci-Fi, Thriller",Godzilla,1998,5.4,139 ,379014294
"Action, Comedy, Thriller",True Lies,1994,7.3,141 ,378882411
"Crime, Drama, Romance",Slumdog Millionaire,2008,8,120 ,378410542
"Comedy, Drama",Once Upon a Time in... Hollywood,2019,7.6,161 ,377617598
"Action, Crime, Thriller",Taken 2,2012,6.2,92 ,376152455
"Action, Adventure, Sci-Fi",G.I. Joe: Retaliation,2013,5.7,110 ,375740705
"Animation, Adventure, Comedy",Shark Tale,2004,6,90 ,374583879
"Comedy, Fantasy, Romance",What Women Want,2000,6.4,127 ,374111707
"Animation, Action, Adventure",The Adventures of Tintin,2011,7.3,107 ,373993951
"Action, Crime, Drama",Batman Begins,2005,8.2,140 ,373672993
"Animation, Action, Adventure",Penguins of Madagascar,2014,6.6,92 ,373515621
"Action, Sci-Fi",X-Men Origins: Wolverine,2009,6.5,107 ,373062864
"Adventure, Family, Fantasy",The Golden Compass,2007,6.1,113 ,372234864
"Drama, Romance, Thriller",Fifty Shades Freed,2018,4.5,105 ,371985018
"Comedy, Romance",Hitch,2005,6.6,118 ,371594210
"Action, Adventure, Sci-Fi",Terminator Salvation,2009,6.5,115 ,371353001
"Action, Adventure, Sci-Fi",Captain America: The First Avenger,2011,6.9,124 ,370569774
"Action, Adventure, Sci-Fi",Edge of Tomorrow,2014,7.9,113 ,370541256
"Comedy, Romance",There's Something About Mary,1998,7.1,119 ,369884651
"Drama, Mystery, Thriller",Gone Girl,2014,8.1,149 ,369330363
"Action, Crime, Drama",The Fugitive,1993,7.8,130 ,368875760
"Action, Adventure, Sci-Fi",Jurassic Park III,2001,5.9,92 ,368780809
"Comedy, Drama, Romance",My Big Fat Greek Wedding,2002,6.6,95 ,368744044
Comedy,Xi hong shi shou fu,2018,6.1,118 ,366961907
"Action, Adventure, Thriller",Die Hard with a Vengeance,1995,7.6,128 ,366101666
"Action, Adventure, Comedy",Shazam!,2019,7,132 ,366080049
"Horror, Mystery, Thriller",The Nun,2018,5.3,96 ,365582797
"Animation, Adventure, Comedy",Alvin and the Chipmunks,2007,5.2,92 ,365352546
"Action, Sci-Fi, Thriller",Tenet,2020,7.3,150 ,365304105
"Comedy, Drama, Romance",Notting Hill,1999,7.2,124 ,363889678
"Animation, Adventure, Comedy",A Bug's Life,1998,7.2,95 ,363258859
"Adventure, Comedy, Family",Night at the Museum: Secret of the Tomb,2014,6.2,98 ,363204635
"Crime, Thriller",Ocean's Twelve,2004,6.5,125 ,362744280
"Action, Adventure, Sci-Fi",Planet of the Apes,2001,5.7,119 ,362211740
"Comedy, Crime",The Hangover Part III,2013,5.8,100 ,362000072
"Action, Adventure, Thriller",The World Is Not Enough,1999,6.4,128 ,361832400
"Adventure, Comedy, Fantasy",Zhuo yao ji 2,2018,5.4,110 ,361682618
"Action, Crime, Thriller",Fast & Furious,2009,6.5,107 ,360366870
"Action, Adventure, Drama",Noah,2014,5.8,138 ,359200044
"Action, Drama, Family",The Karate Kid,2010,6.2,140 ,359126022
"Adventure, Comedy, Crime",Home Alone 2: Lost in New York,1992,6.8,120 ,358994850
"Animation, Adventure, Comedy",Hotel Transylvania,2012,7,91 ,358375603
"Action, Crime, Mystery",Minority Report,2002,7.6,145 ,358372926
"Action, Drama",Top Gun,1986,6.9,109 ,357288178
"Action, Adventure, Drama",The Legend of Tarzan,2016,6.2,110 ,356700357
Drama,American Beauty,1999,8.4,122 ,356296601
"Animation, Adventure, Family",Sen to Chihiro no kamikakushi,2001,8.6,125 ,355822319
"Adventure, Drama, History",Apollo 13,1995,7.7,140 ,355237933
Drama,Rain Man,1988,8,133 ,354825435
"Drama, Romance",The Great Gatsby,2013,7.2,143 ,353659851
"Adventure, Family, Fantasy",Dumbo,2019,6.3,112 ,353284621
"Action, Mystery, Sci-Fi","I, Robot",2004,7.1,115 ,353133898
"Drama, Mystery, Thriller",Basic Instinct,1992,7,127 ,352927224
"Crime, Drama, Mystery",Murder on the Orient Express,2017,6.5,114 ,352794081
"Action, Sci-Fi",X: First Class,2011,7.7,131 ,352616690
"Animation, Action, Adventure",Angry Birds,2016,6.3,97 ,352333929
"Action, Adventure, Thriller",GoldenEye,1995,7.2,130 ,352194034
"Biography, Crime, Drama",Catch Me If You Can,2002,8.1,141 ,352114312
"Crime, Mystery, Thriller",Now You See Me,2013,7.2,115 ,351723989
"Crime, Drama, Thriller",Hannibal,2001,6.8,131 ,351692268
"Action, Comedy, Crime",The Mask,1994,6.9,101 ,351583407
"Adventure, Comedy, Crime",Peter Rabbit,2018,6.6,95 ,351496066
"Action, Adventure, Thriller",Speed,1994,7.3,116 ,350448145
"Animation, Adventure, Drama",Dinosaur,2000,6.4,82 ,349822765
"Adventure, Comedy, Family",Mary Poppins Returns,2018,6.7,130 ,349546142
"Action, Drama, Sci-Fi",Deep Impact,1998,6.2,120 ,349464664
"Animation, Adventure, Comedy",The Lorax,2012,6.4,86 ,349183316
"Action, Mystery, Sci-Fi",The Maze Runner,2014,6.8,113 ,348319861
"Animation, Adventure, Comedy",The Smurfs 2,2013,5.3,105 ,347545360
"Action, Adventure, Mystery",National Treasure,2004,6.9,131 ,347512318
"Action, Comedy, Crime",Rush Hour 2,2001,6.6,90 ,347325802
"Animation, Adventure, Comedy",Trolls,2016,6.4,92 ,347182886
"Action, Adventure, Thriller",xXx: Return of Xander Cage,2017,5.2,107 ,346118277
"Animation, Adventure, Drama",Pocahontas,1995,6.7,81 ,346079773
"Comedy, Family, Fantasy",How the Grinch Stole Christmas,2000,6.3,104 ,345823032
"Action, Adventure, Sci-Fi",Star Trek Beyond,2016,7,122 ,343471816
"Animation, Adventure, Comedy",Alvin and the Chipmunks: Chipwrecked,2011,4.3,87 ,342695435
"Action, Crime, Thriller",Wanted,2008,6.7,110 ,342463063
"Comedy, Family, Fantasy",The Flintstones,1994,5,91 ,341631208
"Drama, Horror, Sci-Fi",A Quiet Place,2018,7.5,90 ,340952971
"Animation, Adventure, Comedy",Enchanted,2007,7.1,107 ,340487836
"Animation, Adventure, Comedy",Over the Hedge,2006,6.7,83 ,339795890
"Action, Drama",300: Rise of an Empire,2014,6.2,102 ,337580051
"Action, Adventure",Batman Forever,1995,5.4,121 ,336567158
"Action, Adventure, Fantasy",Prince of Persia: The Sands of Time,2010,6.6,116 ,336365676
"Drama, Fantasy, Romance",The Curious Case of Benjamin Button,2008,7.8,166 ,335802786
"Action, Adventure, Comedy",Journey 2: The Mysterious Island,2012,5.7,94 ,335287748
"Action, Adventure, Thriller",The Rock,1996,7.4,136 ,335062621
"Action, Adventure, Fantasy",The Great Wall,2016,5.9,103 ,334933831
"Action, Adventure, Comedy",Now You See Me 2,2016,6.4,129 ,334897606
"Comedy, Fantasy, Sport",Xiu xiu de tie quan,2017,6.2,100 ,334530869
"Action, Adventure, Fantasy",Fantastic Four,2005,5.7,106 ,333535934
"Action, Adventure",Indiana Jones and the Temple of Doom,1984,7.5,118 ,333107271
"Action, Adventure, Thriller",Tomorrow Never Dies,1997,6.5,119 ,333011068
"Adventure, Comedy, Sci-Fi",Back to the Future Part II,1989,7.8,108 ,332500002
"Animation, Adventure, Comedy",The Good Dinosaur,2015,6.7,93 ,332207671
"Action, Adventure, Comedy",Free Guy,2021,7.1,115 ,331526598
"Action, Comedy, Crime",22 Jump Street,2014,7,112 ,331333876
"Comedy, Romance",Meet the Parents,2000,7,108 ,330444045
"Animation, Adventure, Comedy",Who Framed Roger Rabbit,1988,7.7,104 ,329803958
"Drama, Thriller",Black Swan,2010,8,108 ,329398046
"Action, Adventure, Drama",The Perfect Storm,2000,6.5,130 ,328718434
"Action, Crime, Thriller",John Wick: Chapter 3 - Parabellum,2019,7.4,130 ,328349387
"Action, Adventure, Comedy",Crocodile Dundee,1986,6.6,97 ,328203506
"Comedy, Sci-Fi",Feng kuang de wai xing ren,2019,5.8,116 ,327598891
"Crime, Drama, Mystery",Se7en,1995,8.6,127 ,327333559
"Comedy, Drama",The Devil Wears Prada,2006,6.9,109 ,326706115
"Action, Crime, Thriller",Taken 3,2014,6,108 ,326479141
"Animation, Drama, Family",The Hunchback of Notre Dame,1996,7,91 ,325338851
"Animation, Adventure, Comedy",A Christmas Carol,2009,6.8,96 ,325286646
"Animation, Adventure, Comedy",The SpongeBob Movie: Sponge Out of Water,2015,6,92 ,325186032
"Biography, Drama, History",Schindler's List,1993,9,195 ,322161245
"Animation, Action, Comedy",Megamind,2010,7.3,95 ,321885765
"Horror, Mystery, Thriller",The Conjuring 2,2016,7.3,134 ,321834351
"Biography, Comedy, Drama",Green Book,2018,8.2,130 ,321752656
"Action, Crime, Thriller",Lethal Weapon 3,1992,6.7,118 ,321731527
"Action, Adventure, Drama",Robin Hood,2010,6.6,140 ,321669741
"Adventure, Drama, War",Inglourious Basterds,2009,8.3,153 ,321457747
"Adventure, Comedy, Crime",101 Dalmatians,1996,5.7,103 ,320689294
"Horror, Mystery, Thriller",The Conjuring,2013,7.5,112 ,320406242
"Drama, Thriller",Fatal Attraction,1987,6.9,119 ,320145693
"Action, Adventure, Comedy",Sonic the Hedgehog,2020,6.5,99 ,319715683
"Action, Adventure, Family",The Last Airbender,2010,4,103 ,319713881
"Comedy, Drama, Romance",The Proposal,2009,6.7,108 ,317375031
"Animation, Adventure, Comedy",The Polar Express,2004,6.6,100 ,316897787
"Biography, Drama",A Beautiful Mind,2001,8.2,135 ,316791257
"Action, Comedy, Crime",Beverly Hills Cop,1984,7.3,105 ,316360478
"Action, Drama, Thriller",Air Force One,1997,6.5,124 ,315156409
"Drama, Family",Wonder,2017,7.9,113 ,315025930
"Action, Adventure, Thriller",The Expendables 2,2012,6.6,103 ,314975955
"Animation, Adventure, Comedy",Chicken Little,2005,5.7,81 ,314432837
"Comedy, Drama, Romance",As Good as It Gets,1997,7.7,139 ,314178011
"Comedy, Crime, Drama",Knives Out,2019,7.9,130 ,312897920
"Action, Adventure, Sci-Fi",Maze Runner: The Scorch Trials,2015,6.3,131 ,312296056
"Action, Horror, Sci-Fi",Resident Evil: The Final Chapter,2016,5.5,107 ,312242626
"Animation, Action, Adventure",The Lego Batman Movie,2017,7.3,104 ,312136671
"Action, Adventure, Comedy",Austin Powers: The Spy Who Shagged Me,1999,6.6,95 ,312016928
"Crime, Thriller",Ocean's Thirteen,2007,6.9,122 ,311312624
"Comedy, Romance",Little Fockers,2010,5.5,98 ,310650585
"Animation, Adventure, Comedy",Bolt,2008,6.8,96 ,309979994
"Action, Crime, Thriller",Ransom,1996,6.7,121 ,309492681
"Comedy, Romance",Runaway Bride,1999,5.6,116 ,309460292
"Biography, Drama, Sport",The Blind Side,2009,7.6,129 ,309231694
"Comedy, Romance",Qian ren 3: Zai jian qian ren,2017,5.6,120 ,307592427
"Drama, Romance",The Fault in Our Stars,2014,7.7,126 ,307166834
"Biography, Drama",The Pursuit of Happyness,2006,8,117 ,307127625
"Animation, Action, Adventure",Rise of the Guardians,2012,7.2,97 ,306941670
"Drama, Sci-Fi",Close Encounters of the Third Kind,1977,7.6,138 ,306889114
"Comedy, Crime, Musical",Chicago,2002,7.2,113 ,306776732
"Horror, Mystery, Thriller",Annabelle: Creation,2017,6.5,109 ,306515884
"Comedy, Romance",Bridesmaids,2011,6.8,125 ,306442085
"Action, Adventure, Thriller",Skyscraper,2018,5.8,102 ,304868961
"Action, Thriller",A Good Day to Die Hard,2013,5.2,98 ,304654182
"Animation, Adventure, Comedy",Mulan,1998,7.6,87 ,304320254
"Action, Biography, Drama",Dangal,2016,8.3,161 ,303723636
"Drama, Romance, Sci-Fi",Passengers,2016,7,116 ,303144152
"Action, Adventure, Sci-Fi",Battleship,2012,5.8,131 ,303025485
"Comedy, Fantasy",Liar Liar,1997,6.9,86 ,302710615
"Action, Adventure, Sci-Fi",G.I. Joe: The Rise of Cobra,2009,5.7,118 ,302469017
"Action, Adventure, Fantasy",Wrath of the Titans,2012,5.7,99 ,301970083
"Action, Adventure, Fantasy",4: Rise of the Silver Surfer,2007,5.6,92 ,301913131
"Adventure, Comedy, Family",Hook,1991,6.8,142 ,300854823
"Action, Adventure, Sci-Fi",Superman,1978,7.4,143 ,300478449
"Drama, Sport",Rocky IV,1985,6.9,91 ,300473716
"Action, Adventure, Thriller",Rambo: First Blood Part II,1985,6.5,96 ,300400432
"Action, Horror, Sci-Fi",Resident Evil: Afterlife,2010,5.8,96 ,300228084
"Action, Adventure, Fantasy",Van Helsing,2004,6,131 ,300157638
"Adventure, Comedy, Family",Stuart Little,1999,6,84 ,300135367
"Action, Comedy, Crime",Beverly Hills Cop II,1987,6.5,100 ,299965036
"Adventure, Family, Fantasy",Alice Through the Looking Glass,2016,6.2,113 ,299820798
"Comedy, Drama, Romance",My Best Friend's Wedding,1997,6.3,105 ,299288605
"Action, Drama, Sci-Fi",Real Steel,2011,7,127 ,299268508
"Animation, Adventure, Comedy",Horton Hears a Who!,2008,6.8,86 ,298572799
"Action, Comedy, Crime",Ocean's Eight,2018,6.3,110 ,297795726
"Drama, Horror, Sci-Fi",A Quiet Place Part II,2020,7.2,97 ,297372261
"Action, Adventure, Sci-Fi",Insurgent,2015,6.2,119 ,297002527
Comedy,Look Who's Talking,1989,5.9,93 ,296999813
"Action, Adventure, Comedy",Austin Powers in Goldmember,2002,6.2,94 ,296938801
"Action, Comedy, Fantasy",Ghostbusters,1984,7.8,105 ,296578797
"Adventure, Drama, Family",Miss Peregrine's Home for Peculiar Children,2016,6.7,127 ,296482446
"Action, Adventure, Sci-Fi",X-Men,2000,7.3,104 ,296339528
"Animation, Adventure, Comedy",Ferdinand,2017,6.7,108 ,296069199
"Mystery, Thriller",Shutter Island,2010,8.2,138 ,294805697
"Comedy, Family, Fantasy",Doctor Dolittle,1998,5.4,85 ,294456605
"Animation, Adventure, Comedy",Bee Movie,2007,6.1,91 ,293514336
"Action, Thriller",Salt,2010,6.4,100 ,293503354
"Animation, Action, Adventure",G-Force,2009,5.1,88 ,292817898
"Crime, Drama, Thriller",The Departed,2006,8.5,151 ,291480452
"Drama, Horror, Mystery",What Lies Beneath,2000,6.6,130 ,291420351
"Action, Adventure, Fantasy",Pacific Rim: Uprising,2018,5.6,111 ,290930148
"Action, Mystery, Thriller",The Bourne Supremacy,2004,7.7,108 ,290835269
"Comedy, Drama, Romance",Sex and the City 2,2010,4.5,146 ,290745055
"Comedy, Drama, History",Shakespeare in Love,1998,7.1,123 ,289317794
"Action, Adventure, Mystery",Divergent,2014,6.6,139 ,288885818
"Comedy, Romance",Coming to America,1988,7.1,117 ,288752301
"Comedy, Romance",Wedding Crashers,2005,7,119 ,288485135
"Action, Adventure, Sci-Fi",Maze Runner: The Death Cure,2018,6.2,143 ,288175335
"Comedy, Family, Fantasy",Casper,1995,6.1,100 ,287928194
Comedy,American Pie 2,2001,6.4,108 ,287553595
"Biography, Drama, Music",Elvis,2022,7.3,159 ,287340048
"Comedy, Music",Pitch Perfect 2,2015,6.4,115 ,287144079
"Crime, Drama, Fantasy",The Green Mile,1999,8.6,189 ,286801374
"Action, Adventure, Sci-Fi",Oblivion,2013,7,124 ,286168572
"Action, Drama, Sci-Fi",Elysium,2013,6.6,109 ,286140700
"Action, Crime, Thriller",Lethal Weapon 4,1998,6.6,127 ,285444603
"Action, Adventure, Sci-Fi",John Carter,2012,6.6,132 ,284139100
"Animation, Adventure, Comedy",Turbo,2013,6.4,96 ,282570682
"Adventure, Comedy, Family",Paddington,2014,7.3,95 ,282377683
"Comedy, Drama, Romance",Bridget Jones's Diary,2001,6.8,97 ,281995610
"Action, Thriller",The Tourist,2010,6,103 ,278780441
"Horror, Thriller",Split,2016,7.3,117 ,278454417
Comedy,Scary Movie,2000,6.2,88 ,278019771
"Action, Adventure, Thriller",xXx,2002,5.8,124 ,277448382
"Action, Adventure, Thriller",The Bourne Legacy,2012,6.6,135 ,276144750
"Animation, Adventure, Comedy",Mr. Peabody & Sherman,2014,6.8,92 ,275698039
"Adventure, Comedy, Family",Scooby-Doo,2002,5.2,89 ,275678613
"Biography, Drama, History",Lincoln,2012,7.3,150 ,275293450
"Action, Adventure, Fantasy",Lara Croft: Tomb Raider,2001,5.7,100 ,274703340
"Action, Adventure, Fantasy",Tomb Raider,2018,6.3,119 ,274650803
"Action, Adventure, Thriller",The Expendables,2010,6.4,103 ,274470394
"Animation, Adventure, Comedy",Cloudy with a Chance of Meatballs 2,2013,6.3,95 ,274325949
"Comedy, Romance, Sci-Fi",The Nutty Professor,1996,5.7,95 ,273961019
"Comedy, Drama, Romance",Jerry Maguire,1996,7.3,139 ,273552592
"Action, Comedy, Crime",Bad Boys II,2003,6.6,147 ,273339556
"Animation, Adventure, Comedy",Lilo & Stitch,2002,7.3,85 ,273144151
"Crime, Drama, Thriller",The Silence of the Lambs,1991,8.6,118 ,272742922
Comedy,Grown Ups,2010,5.9,102 ,271457301
Comedy,Neighbors,2014,6.3,97 ,270665134
"Drama, Mystery, Thriller",The Firm,1993,6.8,154 ,270248367
"Comedy, Crime",We're the Millers,2013,7,110 ,269994119
Drama,Gran Torino,2008,8.1,116 ,269958228
"Action, Adventure, Drama","10,000 BC",2008,5.1,109 ,269784201
"Biography, Crime, Drama",American Gangster,2007,7.8,157 ,269755430
"Animation, Action, Adventure",Epic,2013,6.6,102 ,268426634
"Action, Adventure, Drama",Exodus: Gods and Kings,2014,6,150 ,268175631
"Action, Drama, Mystery",Blade Runner 2049,2017,8,164 ,267770708
"Animation, Adventure, Drama",Bambi,1942,7.3,69 ,267447150
"Animation, Adventure, Comedy",The Princess and the Frog,2009,7.1,97 ,267045765
"Action, Crime, Fantasy",Batman Returns,1992,7.1,126 ,266915287
"Drama, Romance",Indecent Proposal,1993,6,117 ,266614059
"Comedy, Drama, Romance",Something's Gotta Give,2003,6.7,128 ,265328738
"Comedy, Drama, Romance",Bridget Jones: The Edge of Reason,2004,6,108 ,265126918
"Action, Adventure, Sci-Fi",The Incredible Hulk,2008,6.6,112 ,264770996
"Action, Adventure, Sci-Fi",Waterworld,1995,6.3,135 ,264218220
"Comedy, Drama",The Truman Show,1998,8.2,103 ,264118201
"Action, Adventure, Comedy",Charlie's Angels,2000,5.6,98 ,264105545
"Action, Adventure, Sci-Fi",The Fifth Element,1997,7.6,126 ,263920180
"Adventure, Comedy, Family",Jumanji,1995,7,104 ,262821940
"Drama, Thriller",Gisaengchung,2019,8.5,132 ,262676096
Comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.4,84 ,262552893
"Animation, Adventure, Comedy",Robots,2005,6.4,91 ,262511490
"Action, Adventure, Comedy",Knight and Day,2010,6.3,109 ,261989769
"Action, Adventure, Sci-Fi",Total Recall,1990,7.5,113 ,261317921
"Documentary, Drama, Music",This Is It,2009,7.2,111 ,261183588
"Action, Adventure, Sci-Fi",Terminator: Dark Fate,2019,6.2,128 ,261119292
"Action, Adventure, Western",The Lone Ranger,2013,6.4,150 ,260502115
"Action, Mystery, Sci-Fi",Super 8,2011,7,112 ,260095986
"Crime, Horror, Thriller",Halloween,2018,6.5,106 ,259939835
"Action, Adventure, Drama",Xun long jue,2015,5.9,127 ,259368448
"Action, Adventure, Comedy",Charlie's Angels: Full Throttle,2003,4.9,106 ,259175788
"Action, Comedy, Crime",Rush Hour 3,2007,6.2,91 ,258097122
"Comedy, Drama",The Full Monty,1997,7.2,91 ,257938649
"Action, Adventure, Comedy",Gong fu yu jia,2017,5.1,107 ,257753889
"Horror, Mystery, Thriller",Annabelle,2014,5.4,99 ,257589721
"Animation, Comedy, Family",Encanto,2021,7.2,102 ,256786742
"Drama, Mystery, Thriller",The Village,2004,6.6,108 ,256697520
"Action, Adventure, Comedy",Gang jiong,2015,5.4,114 ,256283912
"Biography, Drama",Erin Brockovich,2000,7.4,131 ,256271286
"Horror, Mystery, Thriller",Us,2019,6.8,116 ,256067149
"Comedy, Sport",Fei chi ren sheng,2019,6.3,98 ,255863112
"Horror, Mystery, Thriller",Get Out,2017,7.7,104 ,255745157
"Drama, Family",Marley & Me,2008,7,111 ,255743093
"Action, Adventure, Thriller",Cliffhanger,1993,6.5,113 ,255000211
"Action, Drama",Baahubali 2: The Conclusion,2017,8.2,167 ,254158390
"Comedy, Drama, Family",Babe,1995,6.9,91 ,254134910
"Action, Adventure, Comedy",Men in Black: International,2019,5.6,114 ,253890701
"Action, Adventure, Comedy",Wild Hogs,2007,5.8,100 ,253625427
"Comedy, Drama, Family",High School Musical 3: Senior Year,2008,4.9,112 ,252909177
"Animation, Adventure, Comedy",Hercules,1997,7.3,93 ,252712101
"Action, Adventure, Sci-Fi",Dark Phoenix,2019,5.7,113 ,252442974
"Drama, Western",True Grit,2010,7.6,110 ,252276927
"Adventure, Comedy, Family",Dolittle,2020,5.6,101 ,251410631
"Adventure, Comedy, Family",Bean,1997,6.5,89 ,251212670
"Crime, Drama",American Hustle,2013,7.2,138 ,251171807
"Action, Thriller",Enemy of the State,1998,7.3,132 ,250849789
"Comedy, Drama, Romance",You've Got Mail,1998,6.7,119 ,250821495
"Action, Adventure, Family",Eragon,2006,5.1,104 ,250425512
"Animation, Adventure, Comedy",Brother Bear,2003,6.8,85 ,250397798
"Crime, Drama",The Godfather,1972,9.2,175 ,250341816
"Action, Adventure, Comedy",The Mask of Zorro,1998,6.8,136 ,250288523
"Animation, Adventure, Comedy",The Bad Guys,2022,6.8,100 ,250162278
"Horror, Mystery",The Ring,2002,7.1,115 ,249348933
"Horror, Mystery",The Blair Witch Project,1999,6.5,81 ,248639099
"Drama, Mystery, Sci-Fi",Unbreakable,2000,7.3,106 ,248118121
"Comedy, Drama, Romance",Love Actually,2003,7.6,135 ,247933248
"Adventure, Comedy, Fantasy",Journey to the West: Demon Chapter,2017,5.4,109 ,247585244
Comedy,Dumb and Dumber,1994,7.3,107 ,247290327
"Drama, Horror, Sci-Fi",Glass,2019,6.6,129 ,246999039
Comedy,Grown Ups 2,2013,5.3,101 ,246984278
"Animation, Adventure, Comedy",The Peanuts Movie,2015,7,88 ,246233113
"Animation, Action, Adventure",Rango,2011,7.2,107 ,245724603
"Comedy, Drama, Romance",Four Weddings and a Funeral,1994,7.1,117 ,245700832
"Action, Crime, Sci-Fi",Face/Off,1997,7.3,138 ,245676146
"Action, Adventure, Comedy",Teenage Mutant Ninja Turtles: Out of the Shadows,2016,5.9,112 ,245623848
"Comedy, Fantasy, Horror",Dark Shadows,2012,6.2,113 ,245527149
"Action, Sci-Fi",Hulk,2003,5.6,138 ,245285165
"Action, Drama",Lie huo ying xiong,2019,5.7,118 ,245179562
"Comedy, Romance",Bienvenue chez les Ch'tis,2008,7.1,106 ,245144417
"Adventure, Comedy, Sci-Fi",Back to the Future Part III,1990,7.4,118 ,245077583
"Action, Comedy, Fantasy",Pixels,2015,5.6,105 ,244874809
"Action, Adventure, Fantasy",Hercules,2014,6,98 ,244819862
"Action, Comedy, Crime",Rush Hour,1998,7,98 ,244721064
"Action, Adventure, Family",Journey to the Center of the Earth,2008,5.8,93 ,244232688
"Action, Adventure, Sci-Fi",After Earth,2013,4.8,100 ,243611982
"Drama, Thriller",A Few Good Men,1992,7.7,138 ,243240178
"Animation, Adventure, Comedy",Cloudy with a Chance of Meatballs,2009,6.9,90 ,243006126
"Drama, Music",8 Mile,2002,7.2,110 ,242875078
"Comedy, Family",Daddy's Home,2015,6.1,96 ,242786137
"Action, Crime, Sci-Fi",RoboCop,2014,6.1,117 ,242688965
"Action, Crime, Thriller",Eraser,1996,6.2,115 ,242295562
"Horror, Sci-Fi, Thriller",Alien: Covenant,2017,6.4,122 ,240891763
"Biography, Drama",Sully,2016,7.4,96 ,240797623
"Action, Adventure, Sci-Fi",Assassin's Creed,2016,5.6,115 ,240697856
"Comedy, Drama, Fantasy",Click,2006,6.4,107 ,240685326
"Animation, Action, Adventure",Jiang Ziya,2020,6.5,110 ,240646355
"Animation, Adventure, Comedy",Planes,2013,5.7,91 ,240171783
"Action, Horror, Sci-Fi",Resident Evil: Retribution,2012,5.3,95 ,240159255
"Action, Thriller",Die Hard 2,1990,7.1,124 ,240031274
"Action, Adventure, Comedy",Crocodile Dundee II,1988,5.7,108 ,239606210
"Action, Comedy, Thriller",Bullet Train,2022,7.3,127 ,239268602
"Comedy, Drama, Romance",Crazy Rich Asians,2018,6.9,120 ,238843729
"Action, Sci-Fi",Batman & Robin,1997,3.7,125 ,238235719
"Animation, Adventure, Family",Hauru no ugoku shiro,2004,8.2,119 ,237536126
"Adventure, Comedy, Family",Gulliver's Travels,2010,4.9,85 ,237382724
"Action, Crime, Thriller",Gone in Sixty Seconds,2000,6.5,118 ,237202299
"Drama, Music",Saturday Night Fever,1977,6.8,118 ,237113184
"Comedy, Drama, Romance",Silver Linings Playbook,2012,7.7,122 ,236412453
"Action, Crime, Thriller",2 Fast 2 Furious,2003,5.9,107 ,236350661
"Biography, Drama, History",Hidden Figures,2016,7.8,127 ,235956898
"Drama, Sci-Fi",A.I. Artificial Intelligence,2001,7.2,146 ,235926552
"Comedy, Drama",Dead Poets Society,1989,8.1,128 ,235860116
"Action, Comedy",Spy,2015,7,120 ,235666219
Comedy,American Pie,1999,7,95 ,235483004
Comedy,American Reunion,2012,6.7,113 ,234989584
"Comedy, Drama",Big Daddy,1999,6.4,93 ,234801895
"Animation, Adventure, Comedy",Alvin and the Chipmunks: The Road Chip,2015,4.9,92 ,234798636
"Biography, Drama, Thriller",The Imitation Game,2014,8,114 ,233555708
"Adventure, Comedy, Crime",Cruella,2021,7.3,134 ,233503234
"Adventure, Drama, Sci-Fi",The Day the Earth Stood Still,2008,5.5,104 ,233093859
Comedy,American Wedding,2003,6.3,96 ,232722935
"Crime, Drama, Mystery",The Girl with the Dragon Tattoo,2011,7.8,158 ,232617430
"Comedy, Drama",Juno,2007,7.5,96 ,232372681
"Biography, Drama, Thriller",Argo,2012,7.7,120 ,232325503
"Comedy, Family",Mr. Bean's Holiday,2007,6.4,90 ,232225908
"Drama, Romance, War",The English Patient,1996,7.4,162 ,231976425
"Comedy, Family, Music",Sister Act,1992,6.5,100 ,231605150
"Horror, Mystery, Thriller",Annabelle Comes Home,2019,5.9,106 ,231252591
"Action, Fantasy, Horror",Constantine,2005,7,121 ,230884728
"Action, Adventure, Comedy",Get Smart,2008,6.5,110 ,230685453
"Animation, Adventure, Comedy",Space Jam,1996,6.5,88 ,230594962
"Comedy, Drama, Romance",La vita è bella,1997,8.6,116 ,230098753
"Action, Comedy, Crime",The Heat,2013,6.6,117 ,229930771
"Action, Comedy, Fantasy",Ghostbusters,2016,6.8,117 ,229147509
"Action, Fantasy, Thriller",Ghost Rider,2007,5.3,110 ,228738393
Comedy,Xia Luo te fan nao,2015,6.7,104 ,228122928
"Adventure, Comedy, Family",Paddington 2,2017,7.8,103 ,227994792
"Comedy, Drama, Romance",Sleepless in Seattle,1993,6.8,105 ,227927165
"Action, Crime, Thriller",Lethal Weapon 2,1989,7.2,114 ,227853986
